Ticks,z_setpoint,z_actual,z_p,z_i,z_d,w_command,w_actual,w_i,Nabla_command,Nabla_actual,Nabla_p,Nabla_i,Nabla_d,Qv_command,sps_command,Nabla_air,Roll,Pitch,Yaw,Scale Derived Oil Volume,Depth (raw),Temperature,Battery,VOS,RangeTime,RangeDist,USBLAzimuth,USBLElevation,USBLFitError,PositionEasting,PositionNorthing,PositionDepth,AUX0,AUX1,AUX2,AUX3,AUX4,AUX5,AUX6,AUX7,AUX8,AUX9,SrcID,State,VALVE_INDEX,EN_PUMP
1715671861,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2933.2077637,2933.2077637,0.0,0.0,0.0,0.555,199800.0,0.0,0.0,0.0,0.0,355.8378906,0.0,0.0,40.7586174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715671861,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2800.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.8378906,0.0,0.0,40.7586174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
1715671862,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2800.0002441,2800.0002441,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-179.0,-6.0999999,355.8378906,0.0,18.6000004,40.7586174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
1715671863,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2800.0002441,2800.0002441,0.0,0.0,0.0,-0.555,-199800.0,0.0,1.5,-179.0,-5.8000002,356.0550537,0.0,18.6000004,40.7586174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1715671864,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2800.0,2800.0,0.0,0.0,0.0,-0.555,-199800.0,0.0,1.6,-179.1000061,-5.8000002,356.2607422,0.0,18.6000004,40.7586174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1715671865,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2800.0,2800.0,0.0,0.0,0.0,-0.555,-199800.0,0.0,1.7,-179.0,-5.6999998,356.3863525,0.0,18.6000004,40.7586174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1715671866,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2800.0,2800.0,0.0,0.0,0.0,-0.555,-199800.0,0.0,2.0999999,-179.1999969,-5.6999998,356.4777832,0.0,18.6000004,40.7586174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1715671867,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2800.0,2800.0,0.0,0.0,0.0,-0.555,-199800.0,0.0,1.8,-179.1000061,-5.8000002,356.6035156,0.0,18.6000004,40.7586174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1715671868,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2800.0,2800.0,0.0,0.0,0.0,-0.555,-199800.0,0.0,1.9,-179.3999939,-5.6999998,365.1702881,0.0,18.6000004,40.7586174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1715671869,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2799.5629883,2799.5629883,0.0,0.0,0.0,-0.555,-199800.0,0.0,2.0,-179.1999969,-5.5999999,365.2159424,0.0,18.6000004,40.7586174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
