Ticks,z_setpoint,z_actual,z_p,z_i,z_d,w_command,w_actual,w_i,Nabla_command,Nabla_actual,Nabla_p,Nabla_i,Nabla_d,Qv_command,sps_command,Nabla_air,Roll,Pitch,Yaw,Scale Derived Oil Volume,Depth (raw),Temperature,Battery,VOS,RangeTime,RangeDist,USBLAzimuth,USBLElevation,USBLFitError,PositionEasting,PositionNorthing,PositionDepth,AUX0,AUX1,AUX2,AUX3,AUX4,AUX5,AUX6,AUX7,AUX8,AUX9,SrcID,State,VALVE_INDEX,EN_PUMP
1720610057,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,-1.5,-2.2,64.4000015,-82.4542236,0.0,15.0,41.1000748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610058,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,-1.9,-1.7,63.5,-82.4542236,0.0,15.0,41.1000748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610059,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,-1.6,-1.5,64.3000031,-82.4542236,0.0,15.0,41.1000748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610060,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,0.8,-2.2,64.9000015,-82.4542236,0.0,15.0,41.1000748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610061,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,-4.3000002,-1.5,63.7999992,-82.4542236,0.0,15.0,41.0659294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610062,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,-0.4,-1.4,63.0,-88.0661621,0.0,15.0,41.0545464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610063,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,-1.4,-2.0,62.5,-89.5551758,0.0,15.0,41.0317841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610064,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,-1.7,-1.8,64.1999969,-88.0661621,0.0,15.0,40.9976387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610065,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,0.6,-1.9,65.0,-88.0661621,0.0,15.0,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610066,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,-4.3000002,-1.2,64.9000015,-88.0661621,0.0,15.0,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610067,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,1.1,-1.9,65.0999985,-88.0661621,0.0,15.0,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610068,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,-1.3,-1.8,63.7000008,-87.9952393,0.0,15.0,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610069,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,-3.5,-1.5,63.9000015,-87.9952393,0.0,15.0,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610070,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,3.5999999,-1.7,64.0,-87.9952393,0.0,15.0,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610071,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4467773,2799.4467773,0.0,0.0,0.0,-0.555,-199800.0,0.0,-3.7,-1.8,65.0999985,-87.9952393,0.0,15.0,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610072,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4521484,2799.4521484,0.0,0.0,0.0,-0.555,-199800.0,0.0,-0.2,-1.9,64.6999969,-73.6806641,0.0,15.0,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610073,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4521484,2799.4521484,0.0,0.0,0.0,-0.555,-199800.0,0.0,-1.3,-1.4,63.2999992,-72.8897705,0.0,15.0,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610074,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4526367,2799.4526367,0.0,0.0,0.0,-0.555,-199800.0,0.0,-0.9,-1.6,62.7999992,-72.8897705,0.0,15.0,40.9976387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610075,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4526367,2799.4526367,0.0,0.0,0.0,-0.555,-199800.0,0.0,-0.1,-1.9,62.7000008,-80.5644531,0.0,15.0,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610076,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4521484,2799.4521484,0.0,0.0,0.0,-0.555,-199800.0,0.0,-0.9,-1.9,63.5999985,-72.8897705,0.0,15.0,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
1720610077,50.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2799.4521484,2799.4521484,0.0,0.0,0.0,-0.555,-199800.0,0.0,0.2,-1.2,64.4000015,-71.6386719,0.0,15.0,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
